symbol,rows,start,end,final_value,total_profit,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,trade_count,portfolio_path,return_pct,annualized_pct,max_dd_pct,win_rate_pct,reward_risk
ZIL/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,32.13034980289234,-67.86965019710766,-0.6786965019710766,-0.33694674015051007,-0.5016453379638067,-0.8309217892714061,0.6304023845007451,671,backtests/ZIL_ZScoreStrategy_portfolio.pkl,-67.86965019710766,-33.69467401505101,-83.09217892714061,63.04023845007451,-0.8167994999459476
LINK/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,28.133788907002554,-71.86621109299745,-0.7186621109299745,-0.36806718986096065,-0.7254997022564699,-0.8549404313752912,0.6175040518638574,617,backtests/LINK_ZScoreStrategy_portfolio.pkl,-71.86621109299745,-36.806718986096065,-85.49404313752912,61.750405186385734,-0.8405990459170424
WOO/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,27.498278732662598,-72.5017212673374,-0.725017212673374,-0.37327100424336246,-0.48216200973812534,-0.7584215491312554,0.6234375,640,backtests/WOO_ZScoreStrategy_portfolio.pkl,-72.5017212673374,-37.327100424336244,-75.84215491312554,62.34375,-0.9559554491876651
DOT/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,26.91765305095511,-73.08234694904489,-0.7308234694904489,-0.37809291749855656,-0.7307863824763661,-0.8227478113938957,0.5930408472012103,661,backtests/DOT_ZScoreStrategy_portfolio.pkl,-73.08234694904489,-37.80929174985565,-82.27478113938957,59.30408472012103,-0.8882715449006068
GRT/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,20.42212044083888,-79.57787955916112,-0.7957787955916111,-0.4372448322773087,-0.7078922549425336,-0.8902047847648018,0.593900481540931,623,backtests/GRT_ZScoreStrategy_portfolio.pkl,-79.57787955916112,-43.72448322773087,-89.02047847648018,59.3900481540931,-0.8939277896623093
DYDX/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,20.325402625714858,-79.67459737428514,-0.7967459737428514,-0.438210842159674,-0.5569909303778099,-0.8847679278775937,0.6057401812688822,662,backtests/DYDX_ZScoreStrategy_portfolio.pkl,-79.67459737428514,-43.821084215967396,-88.47679278775938,60.57401812688822,-0.9005140767863367
TRX/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,20.037705903168316,-79.96229409683168,-0.7996229409683169,-0.44110178960243984,-1.6828860756680406,-0.8582070351764299,0.512987012987013,616,backtests/TRX_ZScoreStrategy_portfolio.pkl,-79.96229409683168,-44.110178960243985,-85.820703517643,51.298701298701296,-0.931736641851148
ATOM/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,17.528558428767425,-82.47144157123257,-0.8247144157123257,-0.4675177036293535,-0.940562677785672,-0.8678299249374255,0.5677321156773212,657,backtests/ATOM_ZScoreStrategy_portfolio.pkl,-82.47144157123257,-46.75177036293535,-86.78299249374255,56.77321156773212,-0.9503180197108223
BNB/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,17.456009963522632,-82.54399003647737,-0.8254399003647737,-0.46831636121682496,-1.6584743980977272,-0.8576334142920983,0.5548686244204019,647,backtests/BNB_ZScoreStrategy_portfolio.pkl,-82.54399003647737,-46.83163612168249,-85.76334142920983,55.486862442040184,-0.9624623838217666
FLOW/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,16.913948193442494,-83.0860518065575,-0.830860518065575,-0.47435183524515345,-0.9052217999174219,-0.89754819519076,0.6082317073170732,656,backtests/FLOW_ZScoreStrategy_portfolio.pkl,-83.0860518065575,-47.435183524515345,-89.754819519076,60.82317073170732,-0.9257001713306197
THETA/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,16.815986227466624,-83.18401377253338,-0.8318401377253337,-0.47545568757548085,-0.8443926368214143,-0.8952431833956377,0.5911854103343465,658,backtests/THETA_ZScoreStrategy_portfolio.pkl,-83.18401377253338,-47.54556875754808,-89.52431833956376,59.118541033434646,-0.9291778515086621
BTC/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,16.505475031154106,-83.4945249688459,-0.834945249688459,-0.47898193771639674,-2.173936960989052,-0.8484967323296764,0.5340393343419062,661,backtests/BTC_ZScoreStrategy_portfolio.pkl,-83.4945249688459,-47.898193771639676,-84.84967323296763,53.40393343419062,-0.9840288334357992
NEO/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,15.298050219381864,-84.70194978061814,-0.8470194978061814,-0.4931111860244046,-1.1362420322789737,-0.8605494344694827,0.60625,640,backtests/NEO_ZScoreStrategy_portfolio.pkl,-84.70194978061814,-49.31111860244046,-86.05494344694827,60.62499999999999,-0.984277560217511
ETC/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,14.801415782197722,-85.19858421780228,-0.8519858421780228,-0.49912940758976754,-1.2116579448885951,-0.8803887787648759,0.5606758832565284,651,backtests/ETC_ZScoreStrategy_portfolio.pkl,-85.19858421780228,-49.91294075897675,-88.03887787648759,56.06758832565284,-0.9677381887730322
ALGO/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,14.042696785217458,-85.95730321478254,-0.8595730321478254,-0.5085776228374376,-1.0734456225187508,-0.8952638474045976,0.5871559633027523,654,backtests/ALGO_ZScoreStrategy_portfolio.pkl,-85.95730321478254,-50.85776228374376,-89.52638474045976,58.71559633027523,-0.9601337467605319
LTC/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,13.831314257179187,-86.16868574282081,-0.8616868574282082,-0.5112677355386288,-1.3970133179872188,-0.9026978336743382,0.6045801526717557,655,backtests/LTC_ZScoreStrategy_portfolio.pkl,-86.16868574282081,-51.12677355386288,-90.26978336743382,60.45801526717557,-0.9545684339584608
SNX/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,12.20797147471204,-87.79202852528796,-0.8779202852528796,-0.5328586174823484,-1.00579677170901,-0.9241774106072038,0.5911330049261084,609,backtests/SNX_ZScoreStrategy_portfolio.pkl,-87.79202852528796,-53.285861748234844,-92.41774106072039,59.11330049261084,-0.94994778618974
GALA/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,10.275371497920816,-89.72462850207918,-0.8972462850207918,-0.5611046970831655,-0.9699293190908054,-0.9322107961830158,0.5905511811023622,635,backtests/GALA_ZScoreStrategy_portfolio.pkl,-89.72462850207918,-56.11046970831654,-93.22107961830159,59.055118110236215,-0.9624929132923713
AVAX/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,8.871623998442857,-91.12837600155714,-0.9112837600155714,-0.5838276882218545,-1.2205922014080857,-0.9502490517999671,0.5514018691588785,642,backtests/AVAX_ZScoreStrategy_portfolio.pkl,-91.12837600155714,-58.38276882218545,-95.02490517999671,55.140186915887845,-0.9589946533378935
MANA/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,7.623817978950697,-92.3761820210493,-0.923761820210493,-0.6060432796591373,-1.4611655091945739,-0.9417980324665447,0.5848484848484848,660,backtests/MANA_ZScoreStrategy_portfolio.pkl,-92.3761820210493,-60.604327965913726,-94.17980324665447,58.484848484848484,-0.980849171866695
FIL/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,7.544224880682435,-92.45577511931756,-0.9245577511931756,-0.6075367715476296,-1.3610864470279866,-0.949245871308833,0.5822981366459627,644,backtests/FIL_ZScoreStrategy_portfolio.pkl,-92.45577511931756,-60.75367715476296,-94.9245871308833,58.22981366459628,-0.9739918593676715
SAND/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,7.254518375341576,-92.74548162465842,-0.9274548162465842,-0.6130593666608295,-1.3807170864812313,-0.9461938642306785,0.5868263473053892,668,backtests/SAND_ZScoreStrategy_portfolio.pkl,-92.74548162465842,-61.30593666608295,-94.61938642306785,58.68263473053892,-0.9801953397792
ETH/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,6.956681740914846,-93.04331825908515,-0.9304331825908515,-0.618885681382612,-2.4340288261452874,-0.9354625431593183,0.5343283582089552,670,backtests/ETH_ZScoreStrategy_portfolio.pkl,-93.04331825908515,-61.8885681382612,-93.54625431593183,53.43283582089552,-0.9946236644051174
